question,gold
Tên gọi nào được Phạm Văn Đồng sử dụng khi làm Phó chủ nhiệm cơ quan Biện sự xứ tại Quế Lâm?,Lâm Bá Kiệt
Phạm Văn Đồng giữ chức vụ gì trong bộ máy Nhà nước Cộng hòa Xã hội chủ nghĩa Việt Nam?,Thủ tướng
"Giai đoạn năm 1955-1976, Phạm Văn Đồng nắm giữ chức vụ gì?",Thủ tướng Chính phủ Việt Nam Dân chủ Cộng hòa
Chủ tịch Hội đồng Bộ trưởng đầu tiên của nước Cộng hòa xã hội chủ nghĩa Việt Nam là ai?,Phạm Văn Đồng
Sự kiện quan trọng nào đã diễn ra vào ngày 20/7/1954?,"bản Hiệp định đình chỉ chiến sự ở Việt Nam, Campuchia và Lào đã được ký kết thừa nhận tôn trọng độc lập, chủ quyền, của nước Việt Nam, Lào và Campuchia"
Chức vụ mà Phạm Văn Đồng đảm nhiệm tại Hội nghị Genève về Đông Dương?,Trưởng phái đoàn Chính phủ
Hội nghị Genève về Đông Dương có tính chất như thế nào?,rất căng thẳng và phức tạp
Đoàn Chính phủ Việt Nam dự hội nghị Genève về Đông Dương vì bản Hiệp ước nào?,"bản Hiệp định đình chỉ chiến sự ở Việt Nam, Campuchia và Lào"
"Phạm Sơn Dương, con trai của Phạm Văn Đồng, đang giữ chức vụ gì?","thiếu tướng Quân đội Nhân dân Việt Nam, phó giám đốc Viện Khoa học và Công nghệ Quân sự"
Phạm Văn Đồng từng cố gắng đưa bà Cúc đến nơi nào để chữa bệnh?,"Trung Quốc, Liên Xô"
Chứng bệnh mà bà Cúc mắc phải đến tận bây giò là gì?,nửa quên nửa nhớ
Phó giám đốc Viện Khoa học và Công nghệ Quân sự hiện nay là con của ai?,Phạm Văn Đồng
Sai lầm mà cố thủ tướng Phạm Văn Đồng mắc phải khi đàm phán hiệp định Geneva là gì?,nhờ Trung Quốc chuyển các bức điện về nước
Tại sao việc Phạm Văn Đồng sử dụng phiên dịch người Trung Quốc tại cuộc đàm phán là sai lầm?,"nội dung liên lạc giữa đoàn đàm phán và Trung ương, Trung Quốc đều biết trước và tìm cách ngăn chặn"
Nguyên nhân nào dẫn đến các sai lầm mà Phạm Văn Đồng mắc phải?,đoàn Việt Nam khi đó quá tin đoàn Trung Quốc
"Từ những sai lầm tại cuộc đàm phán hiệp định Geneva, Trung Quốc đã tận dụng chúng như thế nào?",sử dụng chúng để ép Việt Nam ký hiệp định theo lợi ích của Trung Quốc
Vì sao Trung Quốc có thể ép Việt Nam ký hiệp định theo lợi ích của họ?,"do đoàn Việt Nam không có điện đài nên Bộ trưởng Ngoại giao lúc đó là Phạm Văn Đồng đã mắc một sai lầm khi nhờ Trung Quốc chuyển các bức điện về nước, do vậy Trung Quốc biết hết các sách lược của Việt Nam"
Trung Quốc đã làm gì để làm sai lệch thông tin văn kiện đến quần chúng nhân dân Trung Quốc?,Các tài liệu công bố công khai cho công chúng Trung Quốc bản dịch tiếng Trung đều không dịch đầy đủ nội dung của văn kiện
Quan điểm của Trung Quốc là gì đối với công hàm của Thủ tướng nước Việt Nam Dân Chủ Cộng Hoà Phạm Văn Đồng?,"đương nhiên ""công nhận"" chủ quyền của Trung Quốc đối với các quần đảo trên biển Đông"
Nội dung nào được đề cập trong báo Nhân dân ngày 6 tháng 9?,Tuyên bố Lãnh hải của chính phủ Trung Quốc trong đó đường cơ sở để tính lãnh hải bao gồm bờ biển hai quần đảo Tây Sa và Nam Sa trên biển Đông
Các tài liệu công bố công khai cho công chúng Trung Quốc bản dịch tiếng Trung thiếu đoạn quan trọng nào?,triệt để tôn trọng hải phận 12 hải lý của Trung Quốc
Lập trường của Việt Nam trong việc giải quyết các vấn đề tranh chấp quần đảo Hoàng Sa và Trường Sa là gì?,thương lượng hoà bình
Nội dung chủ yếu trong tuyên bố của Bộ Ngoại giao nước CHXHCN Việt Nam về quần đảo Hoàng Sa và Trường Sa ngày 7 tháng 8 năm 1979 là gì?,"Việt Nam khẳng định lại chủ quyền đối với 2 quần đảo này, nhắc lại lập trường của Việt Nam về việc giải quyết sự tranh chấp về 2 quần đảo giữa hai nước bằng thương lượng hoà bình"
Lời diễn giải về bản công hàm ngày 14 tháng 9 năm 1958 được Bộ Ngoại giao nước CHXHCN Việt Nam nhìn nhận như thế nào?,một sự xuyên tạc trắng trợn
Tại sao lòng tin của nhân dân vào Đảng lại giảm sút?,"nhiều người có chức, có quyền trong hệ thống tổ chức của Đảng, Nhà nước, các đoàn thể quần chúng hư hỏng quá, thoái hóa biến chất, chạy theo chức quyền, tiền và danh lợi"
Việc dân mất niềm tin vào Đảng mang lại hậu quả như thế nào?,có thể đưa đến sự mất còn của chế độ và sự nghiệp cách mạng
Điều gì có thể đẩy Đảng vào trong tình thế nguy kịch?,nhân dân ta ngày càng giảm lòng tin vào Đảng
Thuật ngữ thực vật hạt kín Angioosperm được định nghĩa đầu tiên trên ngôn ngữ nào?,tiếng Hy Lạp
Angiospermae được nhà bác nào định nghĩa vào năm 1690?,Paul Hermann
Angiospermae được nhà bác Paul Hermann định nghĩa vào năm 1690 bao gồm những loai thực nào?,thực vật có hoa và tạo ra các hạt được bao phủ trong các bao vỏ
Cây Tuế và cây Thông thuộc loại thực vật nào?,thực vật hạt trần
Robert Brown phát hiện sự tồn tại của noãn trần trong cây Tuế và cây Thông vào thời gian nào?,năm 1827
